"Export time:  1/27/2024, 2:27:22 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0BFF6TKKZ","48 Sheets Inspirational Quotes Planner Stickers Small Talk for Journaling Scrapbook Supplies Motivational Words Simple Neat Handwritten Letters Typewritten Scripts, 8 Styles (Colorful)","Teling","$11.99","346","10","$4,149","09/14/2022","","4.3","237","","15,921","6","FBA","1","Arts, Crafts & Sewing","","","","https://www.amazon.com/dp/B0BFF6TKKZ"
"","","B0CPY6N3HM","SongstyleENT 2024 Spiral bound Simple Daily Planner| Undated Cute Aesthetic Notebook for Women|(8.5 x 6 in)| Daily To Do list & Monthly Goal Calendar Journal| Includes Pen & Vinyl Meme Stickers","Songstyle Ent.","$20.99","","","$0.00","12/10/2023","$12.05","","","$8.94","274,412","","FBA","1","Office Products","Standard","7.44 x 1.85 x 9.17 in","2.01 lb","https://www.amazon.com/dp/B0CPY6N3HM"
"","","B09VGWV3SS","DiverseBee 50 Sheets Pastel Transparent Sticky Notes, 3x3 Clear Sticky Tabs, Translucent Page Flags Book Markers Stickers, Planner Accessories, Bible Journaling Study Office School Supplies (Plum)","DIVERSEBEE","$5.99","2,945","72","$17,641","01/09/2022","$2.17","4.4","1,592","$3.82","3,223","6","FBA","1","Office Products","Standard","3.62 x 0.75 x 4.29 in","1.13 oz","https://www.amazon.com/dp/B09VGWV3SS"
"","","B0C59YRLFB","BLIEVE - Pastel Colored Gel Pens With Cool Matte Finish, Aesthetic and Cute Pens With Smooth Writing For Journaling And Bible Note Taking No Bleed Through, Drawing Pen, Cute School Supplies 8 Pack","BLIEVE","$9.99","3,687","98","$36,833","05/14/2023","$5.57","4.3","515","$4.42","2,228","6","FBA","1","Office Products","Standard","4.6 x 0.47 x 7.7 in","3.84 oz","https://www.amazon.com/dp/B0C59YRLFB"
"","","B0BRN9FW9W","BAYTORY 6Pcs Colored Gel Pens, Pastel Ink Colors, Quick Dry Ink Pen Fine Point 0.5mm Smooth Writing for School Supplies Journaling Notetaking Stationery","BAYTORY","$8.97","987","29","$8,853","01/03/2023","$4.70","4.2","360","$4.27","8,547","6","FBA","1","Office Products","Standard","2.91 x 0.67 x 5.91 in","2.57 oz","https://www.amazon.com/dp/B0BRN9FW9W"
"","","B07X274SWD","Aesthetic Monthly Planner Stickers - 1100+ Beautiful Design Accessories Enhance and Simplify Your Planner, Journal and Calendar","ZICOTO","$12.99","1,024","21","$13,302","10/22/2019","$7.97","4.7","5,191","$5.02","11,608","6","FBA","1","Office Products","Standard","0.39 x 8.27 x 6.1 in","6.4 oz","https://www.amazon.com/dp/B07X274SWD"
"","","1728206553","F*cking Planner Stickers: 500+ Funny Adult Stickers to Control Your Sh*t (Journal Variety Pack, White Elephant Gift) (Calendars & Gifts to Swear By)","Sourcebooks","$5.99","","","","04/04/2019","$0.37","4.8","6,788","$5.62","4,699","5","AMZ","16","Books","Standard","0.25 x 6 x 4 in","1.41 oz","https://www.amazon.com/dp/1728206553"
"","","B0C5FJXJ68","Aesthetic Cute Pastel Highlighters Set: 6 Assorted Colors Pens No Bleed Bible Markers Office Essentials Desk Accessories School Study Supplies Journal Planner Preppy Teen Girl Women Stuff Book","KOUSICOO","$4.99","5,013","123","$25,015","09/14/2023","$1.32","4.2","183","$3.67","1,668","7","FBA","1","Office Products","Standard","3.82 x 0.55 x 5.31 in","2.89 oz","https://www.amazon.com/dp/B0C5FJXJ68"
"","","B0BDLGKM5S","Aesthetic Pastel Sticky Notes Set of 528 with Tabs - Incl. Sturdy Cover to Keep Your Notes Safe - Cute School Accessories, College, Students, Teachers or Office Desk Supplies for Women","ZICOTO","$12.99","939","22","$12,198","09/07/2022","$7.97","4.2","338","$5.02","11,424","7","FBA","1","Office Products","Standard","4.7 x 0.4 x 8.4 in","7.4 oz","https://www.amazon.com/dp/B0BDLGKM5S"
"","","B08P48Z5VZ","Budget Planner - Monthly Finance Organizer with Expense Tracker Notebook to Manage Your Money Effectively, Undated Finance Planner/Account Book, Start Anytime, 1 Year Use, A5, Rose","Nokingo","$9.98","7,724","163","$77,086","11/24/2020","$5.41","4.6","4,900","$4.57","1,158","7","FBA","1","Office Products","Standard","6.02 x 0.59 x 8.46 in","9.9 oz","https://www.amazon.com/dp/B08P48Z5VZ"
"","","B0C5MD6GXX","Perkoop 30 Sheets 1500+ Pieces Monthly Planner Stickers Vintage Seasonal Sticker Pack Holiday Calendar Stickers Planner Accessories Daily Journal Stickers for Journaling Scrapbook Budget, 15 Styles","PerKoop","$14.99","280","6","$4,197","05/17/2023","$9.82","4.3","20","$5.17","36,513","7","FBA","1","Office Products","Standard","4.8 x 0.35 x 8.39 in","5 oz","https://www.amazon.com/dp/B0C5MD6GXX"
"","","B09H43QWC1","240 Pcs 1Inch Colored Book Sticky Index Tabs, Repositionable Page Tabs for Notebooks File Classification,12 Colors(1 Inch)","Prudiut","$6.99","5,526","154","$38,627","09/24/2021","$3.02","4.4","1,284","$3.97","1,246","6","FBA","1","Office Products","Standard","6.97 x 0.67 x 10.16 in","2.11 oz","https://www.amazon.com/dp/B09H43QWC1"
"","","B09W2Y2BRG","1200 Pieces Sticky Tabs, 60 Colors Colorful Book Tabs with Ruler for Index Callout, Tabs for Annotating Books, File Classification, Book Notes Highlights, Page Markers","YAUNLEL","$6.99","222","5","$1,552","03/20/2022","$3.02","4.8","945","$3.97","40,345","6","FBA","1","Office Products","Standard","5 x 0.71 x 8.35 in","3.84 oz","https://www.amazon.com/dp/B09W2Y2BRG"
"","","1950045269","The Home Organization Sidekick Journal by Habit Nest. A Step-by-Step Guide to Declutter, and Organize your Home. Coaches you through Decluttering your Home, Room by Room.","Habit Nest","$39.90","1,530","51","$61,047","02/08/2023","","4.5","65","","3,559","5","FBA","1","Sports & Outdoors","","","","https://www.amazon.com/dp/1950045269"
"","","B0C33QQJKY","Meeting Notebook For Work Organization - Work Planner Notebook With Action Items, Agenda Planner For Note Taking, 160Pages (6.9' X 9.9') Project Planner For Men & Women - Pink","Taja","$9.99","4,621","165","$46,164","04/19/2023","$5.42","4.5","324","$4.57","1,135","7","FBA","1","Office Products","Standard","5.6 x 0.5 x 8.5 in","10.4 oz","https://www.amazon.com/dp/B0C33QQJKY"
"","","B0BKVTPT9C","Mr. Pen- Sticky Notes, 12 Pads, 3x3, Vintage Colors, Sticky Pads, Bulk, Colored/Colorful Sticky Notes","Mr. Pen","$8.99","23,663","630","$212,730","10/28/2022","$4.57","4.3","9,386","$4.42","135","6","FBA","1","Office Products","Standard","5.98 x 0.58 x 9.06 in","9.3 oz","https://www.amazon.com/dp/B0BKVTPT9C"
"","","B09QT1MH95","Simplified To Do List Notebook - Aesthetic Daily Planner to Easily Organize Your Tasks And Boost Productivity - Stylish Undated Planner And School or Office Supplies For Women","ZICOTO","$12.99","5,733","131","$74,472","01/19/2022","$7.97","4.7","2,029","$5.02","1,553","7","FBA","1","Office Products","Standard","6.4 x 0.6 x 8.5 in","11.7 oz","https://www.amazon.com/dp/B09QT1MH95"
"","","B0C168N7DM","3 Pcs A5 Undated to Do List Notepad, Notebook Daily Planner 80 Sheets 5.8 Inch x 8.2 Inch Checklist Productivity Organizer for Work Academic Planner (Light Color)","YIKANGHENG","$9.99","117","1","$1,169","03/31/2023","$3.35","4.9","35","$6.64","147,156","6","FBA","1","Office Products","Standard","7.6 x 1.3 x 10.31 in","1.5 lb","https://www.amazon.com/dp/B0C168N7DM"
