"Export time:  2/11/2024, 3:10:05 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B09KR7WXJF","ComSaf Glass Storage Containers with Lids 37fl.oz, Glass Jars with Bamboo Lids, Clear Food Storage Jar, Glass Canister For Pantry Noodles Flour Cereal Rice Sugar Tea Coffee Beans, Square Set of 4","ComSaf","$34.99","3,561","138","$124,599","10/31/2021","$22.71","4.5","3,563","$12.28","1,461","6","FBA","7","Kitchen & Dining","Standard","9.76 x 14.8 x 5.39 in","3.92 lb","https://www.amazon.com/dp/B09KR7WXJF"
"","","B0CNGMLPNJ","ComSaf 45oz Glass Storage Containers with Lids, Glass Jars with Bamboo Lids, Clear Food Storage Jar, Square Glass Canister Set of 3, Pantry Organizers and Storage for Flour Oat Pasta Tea Coffee Bean","","$26.99","810","27","$21,862","","","4.4","13","","10,428","","FBA","","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CNGMLPNJ"
"","","B0CMWLVJGT","CZZGSM 6 Pack Square Glass Kitchen Storage Jars with Airtight Bamboo Lids and 132 Pantry Labels - 35oz Glass Canisters With Wood Lids - Glass Food Storage Containers for Coffee, Cookie, Tea, Spice","CZZGSM","$33.79","252","16","$8,515","11/07/2023","$16.74","4.7","20","$17.05","17,715","7","FBA","1","Kitchen & Dining","Oversize","11 x 10 x 11 in","6.28 lb","https://www.amazon.com/dp/B0CMWLVJGT"
"","","B0BL98DLWQ","Vtopmart 15 Pack Glass Food Storage Containers, Meal Prep Containers, Airtight Glass Bento Boxes with Leak Proof Locking Lids, for Microwave, Oven, Freezer and Dishwasher","Vtopmart","$38.98","2,754","65","$107,351","11/02/2022","$23.70","4.7","1,138","$15.28","3,886","7","FBA","5","Kitchen & Dining","Standard","13.27 x 6.34 x 14.84 in","13.69 lb","https://www.amazon.com/dp/B0BL98DLWQ"
"","","B09KHFR6MY","MR.SIGA 4 Pack Airtight Food Storage Container Set, BPA Free Kitchen Pantry Organization Canisters with One-handed Leak Proof Lids, 1L / 33.8oz, Medium, White","MR.SIGA","$29.99","1,827","55","$54,792","10/26/2021","$19.70","4.4","904","$10.29","4,676","7","FBA","1","Kitchen & Dining","Standard","4.2 x 6.3 x 4.2 in","2.94 lb","https://www.amazon.com/dp/B09KHFR6MY"
"","","B07XYMYLTR","W&P Porter Seal Tight Glass Lunch Bowl Container w/Lid Blush 24 Ounces Leak & Spill Proof, Soup & Stew Food Storage, Meal Prep, Airtight, Microwave and Dishwasher Safe, BPA-Free Glass","W&P","$30.00","5,373","145","$161,190","09/15/2019","$20.98","4.7","2,257","$9.02","1,367","7","AMZ","7","Kitchen & Dining","Standard","4.43 x 4.57 x 4.43 in","12.5 oz","https://www.amazon.com/dp/B07XYMYLTR"
"","","B0CGHTF85R","Glass Food Storage Jars 37 oz Set of 6,Glass Storage Containers Clear Glass Food Canister with Bamboo Lid Airtight For Serving Tea, Coffee, Flour, Sugar, Candy, Cookie, Spice and More (Square)","Liuruiyu","$26.99","2,431","81","$65,613","11/01/2023","","4.7","1,181","","2,949","7","FBA","2","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CGHTF85R"
"","","B0CNXS8VW8","ComSaf 56oz Glass Storage Containers with Lids, Glass Jars with Bamboo Lids, Clear Food Storage Jar, Round Glass Canister Set of 3, Pantry Organizers and Storage for Pasta Flour Rice Tea Coffee Bean","ComSaf","$22.99","704","27","$16,185","01/06/2024","$13.11","4.8","12","$9.88","10,093","7","FBA","1","Kitchen & Dining","Standard","4 x 9.45 x 9.45 in","3.61 lb","https://www.amazon.com/dp/B0CNXS8VW8"
"","","B09TFZRQL5","Bloomondo Empty Spice Jars with Label Pack (12x Bamboo Lid Glass Jar). Small 6oz Spice Storage Bottles with 112 Printed Spice Labels Stickers and 48 Writable Pantry Labels for Seasoning Containers","Bloomondo","$38.99","1,342","36","$52,325","03/15/2022","$26.27","4.8","509","$12.72","7,601","7","FBA","3","Kitchen & Dining","Standard","12.598 x 14.528 x 3.858 in","4.054 lb","https://www.amazon.com/dp/B09TFZRQL5"
"","","B09X9PC3ZN","Urban Green Glass Jar with Bamboo Lid, Square Shape Glass Jars with Airtight Lids, Glass food storage Container set. Glass Canister Set for Kitchen, Glass Pantry Jars. (3 Pack of 48oz)","Urban Green","$25.99","329","8","$8,551","11/29/2020","$15.66","4.4","513","$10.33","32,481","7","FBA","1","Kitchen & Dining","Standard","10 x 10 x 5 in","3.65 lb","https://www.amazon.com/dp/B09X9PC3ZN"
"","","B0BXPNF1C6","SAIOOL Kitchen Canisters Set of 6-8.5oz Glass Spice Jars With Acacia Airtight Lid and Labels Round Spice Bottles for kitchen Seasoning Baby Food Kids Snacks Meal Prep Containers Candle","SAIOOL","$27.99","870","29","$24,351","03/06/2023","$17.36","4.6","1,967","$10.63","9,394","6","FBA","1","Kitchen & Dining","Standard","7 x 10 x 6 in","3.13 lb","https://www.amazon.com/dp/B0BXPNF1C6"
