"Export time:  2/5/2024, 12:45:15 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B09W5QY63R","51mm portafilter for Delonghi ECP3420/EC155/BCO430/EC260, 51mm bottomless portafilter 2 ears, Stainless Steel Replacement Parts for Delonghi Handle","CAPFEI","$30.22","484","3","$14,626","03/21/2022","$21.92","4.1","323","$8.30","232,388","7","FBA","3","Home & Kitchen","Standard","3.35 x 1.77 x 9.84 in","0.741 lb","https://www.amazon.com/dp/B09W5QY63R"
"","","B0C28F5P8T","58mm Bottomless Portafilter Compatible with E61, Rocket, Flair 58, ECM, Sanremo, Synesso, Slayer, VBM,ROYAL, Stainless Steel Espresso Naked Portafilter with 2pcs Filter Basket and Blind Filter Basket","RAOVCUS","$79.99","","","$0.00","05/23/2023","","5","3","","818,238","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C28F5P8T"
"","","B0CP1Q21B2","Beroun 54mm Bottomless Portafilter Includes 2 Filter Basket Ergonomic 3 Ears Bottomless Naked Portafilter Fits Breville Barista Express and 54mm Breville Machines Espresso Accessories","Beroun","$39.99","60","2","$2,399","11/26/2023","","5","2","","351,379","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CP1Q21B2"
"","","B0CKX1X7D1","18-22g 54mm Portafilter Filter Basket for Breville Espresso Machines, Fits 54mm Breville Sage Espresso machines Express,Bambino,Bambino Plus BES450,BES880,BES810BSS,BES860XL,BES870XL,BES878","MOKA HOME","$9.90","60","2","$594.00","10/11/2023","","5","4","","309,375","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CKX1X7D1"
"","","B0CGRJP2MY","HIMDUZE 54mm Bottomless Portafilter, Bottomless Coffee Portafilter with Stainless Steel portafilter and Walnut Handle for Breville Barista Express, Pro, Touch, Bambino Plus, Infuser","HIMDUZE","$35.99","","","$0.00","08/27/2023","","5","1","","1,584,625","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CGRJP2MY"
"","","B0B71Q8YVG","Vicosey Espresso Tamping Station,Coffee Portafilter Holder,Espresso Tamper Stand for 51/54/58mm Portafilters、Tamper and Distributor,Espresso Machine Accessories,Coffee Tool Organizer","Vicosey","$23.90","35","1","$836.50","07/18/2022","","4.3","26","","484,618","7","FBA","2","Home & Kitchen","","","","https://www.amazon.com/dp/B0B71Q8YVG"
"","","B0C7N4JCHG","AronYada 51mm Espresso Tamper with 2 Spring,30LB Auto-Calibrated Coffee Tamper 51mm with Silicone Mat,100% Stainless Steel Flat Base Fits for Delonghi Series and Other 51mm Portafilter","AronYada","$32.98","150","5","$4,947","06/09/2023","","4.9","10","","175,752","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C7N4JCHG"
"","","B09XK27CGL","Electric Portafilter Cleaning Machine Knock Box Coffee portafilter Cleaner (Silver)","B&Q","$269.99","30","","$8,100","04/07/2022","$217.13","3","13","$52.86","986,798","6","FBA","2","Home & Kitchen","Oversize","12.09 x 18.22 x 6.06 in","4.61 lb","https://www.amazon.com/dp/B09XK27CGL"
"","","B09YCF1G4B","Coffee Distributor & Tamper 58mm Dual Head 2 in 1 Coffee Leveler Tool Espresso Distribution Tool and Tamper Fits Portafilters Barista Express Barista Coffee Accessories (58MM)","USEAMIE","$24.99","","","$0.00","04/19/2022","$16.10","4.1","12","$8.89","915,310","6","FBA","1","Home & Kitchen","Standard","2.99 x 3.15 x 2.2 in","1.411 lb","https://www.amazon.com/dp/B09YCF1G4B"
"","","B07DJT5QMW","Nuova Simonelli Standard Portafilter Complete 2 Spout 98005022 Aurelia Appia Musica","Nuova Simonelli","$78.77","60","2","$4,726","06/04/2018","","4.6","27","","380,781","6","FBA","4","Home & Kitchen","","","20 lb","https://www.amazon.com/dp/B07DJT5QMW"
"","","B0CG1CZ3ZS","51mm Bottomless Portafilter for Delonghi ECP3420/EC155/BCO430/EC260,51mm Portafilter 2 Ears Replacement Parts with Filter Basket for Delonghi Espresso Machine","Taruimoo","$27.66","401","17","$11,092","08/17/2023","","4.3","15","","55,198","6","FBA","2","Home & Kitchen","","","","https://www.amazon.com/dp/B0CG1CZ3ZS"
"","","B098Q9QF26","Crema Coffee Products - 54mm Bottomless Naked Portafilter - Filter Basket Included - Fits 54mm Breville Machines, Walnut","CREMA COFFEE PRODUCTS","$89.00","654","18","$58,206","10/06/2020","$69.86","4.3","391","$19.14","52,136","6","FBA","2","Home & Kitchen","Standard","4.331 x 10.827 x 2.323 in","2.624 lb","https://www.amazon.com/dp/B098Q9QF26"
