"Export time:  2/1/2024, 11:12:49 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CLCMH6Z8","Tagging Gun Kit, wilfox Fine Stitch Tool Mini Stitch Gun for Clothes Mending Quilting Stitch Tag Gun with 1 Needle,1920 Black Mini Fasteners","wilfox","$29.99","","","$0.00","10/18/2023","$26.15","3.2","9","$3.84","389,576","7","FBA","1","Office Products","Standard","4.1 x 1.02 x 4.4 in","3.52 oz","https://www.amazon.com/dp/B0CLCMH6Z8"
"","","B0CCRXPXCD","1 inch Standard Tagging Gun Fasteners, 10000PCS Clothing Standard Label Gun Price Tagging Barbs, Plastic Garment Tag Gun Refills, Clothing Tag Gun Attachments for All Standard Price Tag Guns (1')","DrfzCa","$9.98","231","9","$2,305","07/24/2023","$4.71","4.5","8","$5.27","26,634","6","FBA","1","Office Products","Standard","4.88 x 4.25 x 7.99 in","8.8 oz","https://www.amazon.com/dp/B0CCRXPXCD"
"","","B0CFKS1RPZ","2001 Pieces Tagging Gun Kit, Tagging Gun for Clothing with 2000pcs 0.24 Inch Bars Fasteners, Fine All Steel Needles Price Tag Gun Kit for Clothes Labeler","Hobanga","$15.49","122","3","$1,890","09/15/2023","$9.63","3.2","17","$5.86","73,566","7","FBA","1","Office Products","Standard","5.28 x 1.73 x 5.31 in","4.6 oz","https://www.amazon.com/dp/B0CFKS1RPZ"
"","","B0CG96MZB1","2001 Pieces Clothes Tagging Gun, Standard Retail Price Tag Attacher Gun Kit with 2000pcs Bars Fasteners Clothes Garment Tag Attachment for Shops Retailers Warehouse Sale (Blue, Orange)","Chumia","$15.99","413","10","$6,604","08/21/2023","$10.05","3.4","300","$5.94","24,173","7","FBA","1","Office Products","Standard","6.73 x 1.34 x 10.04 in","5 oz","https://www.amazon.com/dp/B0CG96MZB1"
"","","B0BFQL1DPB","3576 Pcs Tagging Gun Clothes Garment Tag Attacher Kit with Needles Standard Plastic Barbs Fasteners Hang Tag Strings Gourd Safety Pins Retail Price Tags Size Labels for Store Warehouse (Light Green)","Chumia","$16.99","596","19","$10,126","09/18/2022","$10.67","4.5","648","$6.32","12,710","7","FBA","1","Office Products","Standard","5.55 x 1.89 x 9.45 in","11.7 oz","https://www.amazon.com/dp/B0BFQL1DPB"
"","","B0BQKJTV83","Mr. Pen- Tagging Gun, 5 Needles & 1008 Pcs Barbs Fasteners, Green Ombre, Price Tag Gun, Tagging Gun for Clothing, Tag Attacher Guns, Retail Tagging Gun, Hang Tag Gun, Clothes Tagging Gun","Mr. Pen","$9.99","3,429","120","$34,256","12/18/2022","$4.95","4.6","1,652","$5.04","1,730","6","FBA","1","Office Products","Standard","5.12 x 2.36 x 5.31 in","4.9 oz","https://www.amazon.com/dp/B0BQKJTV83"
"","","B0CGLC2BYR","2000 Pcs Mini Stitch Gun Fasteners Kit, 0.18 inch Clothing Fine Tagging Barbs Attachments Price Label Include 1000 Black Fasteners and 1000 White Fasteners for Microstitch(NOT for Standard)","Hobanga","$7.00","353","9","$2,471","08/24/2023","$2.94","4.1","27","$4.06","25,425","7","FBA","8","Office Products","Standard","1.22 x 0.71 x 4.45 in","0.634 oz","https://www.amazon.com/dp/B0CGLC2BYR"
"","","B0CQ27D8V6","Micro Fasteners for Fine Stitch Tag Gun, 3000Pcs 0.18 inch/4.4mm Clothing Tag Barbs Attachments Include 1500 Black and 1500 White Fasteners for All Micro Mini Stitch Tag Gun(NOT for Standard)","wilfox","$9.99","162","5","$1,618","12/11/2023","$4.95","","","$5.04","47,577","6","FBA","1","Office Products","Standard","2 x 1 x 4 in","0.704 oz","https://www.amazon.com/dp/B0CQ27D8V6"
"","","B0CHB48LW1","Sewing gun for clothes, Sewing gun with 1000 Black & 1000 White Fasteners, Fine Sewing Tool Clothing sewing gun, Yudngli","Yudngli","$23.99","77","2","$1,847","09/04/2023","$16.85","2.8","14","$7.14","90,760","7","FBA","1","Office Products","Standard","4.4 x 0.78 x 4.7 in","4.6 oz","https://www.amazon.com/dp/B0CHB48LW1"
"","","B07XSLZ76P","Attach 2.0: Instant Button Attacher, with 200 Clear & Black Fasteners, no sew Mini Sewing Machine for Quick Clothing Fixes Costumes Crafts","Fashion First Aid","$19.95","186","5","$3,711","09/10/2019","$13.42","3.4","803","$6.53","29,093","5","FBA","1","Arts, Crafts & Sewing","Standard","5.75 x 6.5 x 1.25 in","0.04 lb","https://www.amazon.com/dp/B07XSLZ76P"
