"Export time:  2/13/2024, 12:32:40 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0C6PH2ZHX","4 Pack Sliding Closet Organizers and Storage, Stackable Closet Storage Shelves, Pull Out Clothes Storage Organizer Baskets/Containers/Drawers with Dividers for Wardrobe (Black-Sturdy Wire Metal Frame)","Hencawima","$39.99","381","11","$15,236","07/09/2023","$25.76","4.6","48","$14.23","82,635","7","FBA","1","Home & Kitchen","Standard","12.44 x 5.59 x 16.3 in","9.86 lb","https://www.amazon.com/dp/B0C6PH2ZHX"
"","","B0BVHN92RN","Proarea 4 Pack Stackable Plastic Storage Basket Closet Organizer Bin Foldable Clothes Organizer Storage Drawer Shelf Container for Living Room Bathroom Kitchen Office (4L)","Proarea","$39.99","1,074","41","$42,949","02/10/2023","$25.16","4.4","139","$14.83","22,255","7","FBA","2","Home & Kitchen","Standard","13.1 x 7.3 x 16.6 in","6.34 lb","https://www.amazon.com/dp/B0BVHN92RN"
"","","B0CJRKHT6X","Plastic Stackable Storage Bins 4 Tier, Large Capacity Multi-Functional Storage Containers Shelves for Organizing Food, Closet, Kitchen, Office, Bathroom, Playroom, Kitchen and Pantry Organization","DOMNIU","$32.99","448","12","$14,780","09/24/2023","$2.00","4.3","70","$30.99","22,951","7","FBA","2","Kitchen & Dining","Oversize","14 x 31 x 14.5 in","6.26 lb","https://www.amazon.com/dp/B0CJRKHT6X"
"","","B0CH8X6XCK","Plastic Storage Baskets With Bamboo Lid - Plastic Storage Containers Stackable Storage bins: Storage Baskets for Organizing Shelves Drawers Desktop Closet Playroom Classroom Office, 6 Pack","Ohmlove","$36.99","1,307","35","$48,346","10/12/2023","","4.7","79","","26,119","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CH8X6XCK"
"","","B08K3DP1D5","Minekkyes 3-Pack 30 L Plastic Stackable Collapsible Basket, Folding Storage Crate, White","Minekkyes","$33.55","30","1","$1,006","09/24/2020","$13.12","4.2","29","$20.43","137,550","5","FBA","1","Office Products","Oversize","13.42 x 10.2 x 17.44 in","6.49 lb","https://www.amazon.com/dp/B08K3DP1D5"
"","","B0CB6F3T5W","4 Tier Closet Organizers and Storage Shelves,Stackable Storage Bins for Closet, Collapsible Wire Organizer Basket Container Drawer with Dividers for Closet of Truck Camper RV,Pantries Cabinet Wardrobe","Cidaziya","$33.99","270","9","$9,177","07/04/2023","$5.05","4.3","26","$28.94","103,683","7","FBA","1","Home & Kitchen","Oversize","11.81 x 30.63 x 15.75 in","8.9 lb","https://www.amazon.com/dp/B0CB6F3T5W"
"","","B0CM677F1J","SYNCVIBE Stackable Plastic Storage Basket - Foldable Closet Organizers and Storage Box Bins Drawer Shelf Storage Container for Cupboard Wardrobe Kitchen Bathroom Office (4.5L)","SYNCVIBE","$45.99","120","4","$5,519","10/30/2023","$30.26","4.6","9","$15.73","195,823","7","FBA","1","Home & Kitchen","Standard","13 x 7.5 x 17 in","8.8 lb","https://www.amazon.com/dp/B0CM677F1J"
"","","B0CKNNCR4F","Plastic Storage Baskets with Lid - Plastic Storage Containers Stackable Storage bins: Storage Baskets for Organizing Shelves Drawers Desktop Closet Playroom Classroom Office, 8 Pack-Gray","Ohmlove","$49.99","1,008","104","$50,390","11/14/2023","","4.5","40","","7,514","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CKNNCR4F"
"","","B0C15X3S86","Simple Houseware Plastic Stackable Storage Basket Pantry Organizer, 6 Pack, White","Simple Houseware","$21.87","292","19","$6,386","03/30/2023","$12.16","4.5","58","$9.71","14,416","5","FBA","1","Kitchen & Dining","Standard","8.3 x 3.5 x 14.25 in","3.84 lb","https://www.amazon.com/dp/B0C15X3S86"
"","","B0CF9SQCWY","AVLA 4 Pack Stackable Plastic Storage Basket, Plastic Foldable Closet Organizer Storage Bins, Wardrobe Storage Box Clothes Drawer Shelf Container for Cupboard Bedroom Dorm Bathroom Kitchen Office","AVLA","$28.99","79","1","$2,290","08/09/2023","$16.41","3.8","4","$12.58","575,018","7","FBA","1","Home & Kitchen","Standard","12.91 x 5.98 x 17.87 in","6.23 lb","https://www.amazon.com/dp/B0CF9SQCWY"
"","","B08K9CP7FP","Skywin Plastic Stackable Storage Bins for Pantry - 4-Pack Black Stackable Bins For Organizing Food, Kitchen, and Bathroom Essentials","Skywin","$33.00","2,473","78","$81,609","06/22/2020","$20.12","4.3","4,111","$12.88","3,105","6","FBA","1","Kitchen & Dining","Standard","11.5 x 7 x 14.5 in","3.32 lb","https://www.amazon.com/dp/B08K9CP7FP"
"","","B0CKNBD9LP","Plastic Storage Baskets with Lid - Plastic Storage Containers Stackable Storage bins: Storage Baskets for Organizing Shelves Drawers Desktop Closet Playroom Classroom Office, 8 Pack-White","Ohmlove","$47.99","1,470","49","$70,545","11/14/2023","","4","26","","18,485","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CKNBD9LP"
"","","B07N4F67Z6","EZOWare 4pcs Lidded Storage Bins, Plastic Stackable Weaving Wicker Basket Containers set with Lid and Handle - Gray, 11x7.3x5.1 Inches","EZOWare","$23.99","194","5","$4,654","11/10/2021","$12.76","4.7","1,502","$11.23","160,003","7","FBA","1","Home & Kitchen","Standard","10.98 x 11.77 x 7.72 in","3.091 lb","https://www.amazon.com/dp/B07N4F67Z6"
"","","B07C8LFBRB","IRIS USA 6 Qt. Small Plastic Stacking Drawer, 4-Pack, Stackable Storage Organizer Unit with Sliding Drawer for Bedroom Kitchen Under Sink Pantry Craft Room Dorm Office, White","IRIS","$29.99","4,809","171","$144,222","03/20/2018","$9.33","4.5","7,608","$20.66","3,860","7","AMZ","7","Home & Kitchen","Oversize","13.81 x 11.25 x 17.81 in","5.2 lb","https://www.amazon.com/dp/B07C8LFBRB"
