"Export time:  2/5/2024, 12:59:34 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B09WF8MC9D","Attelite Plastic Purse and Handbag Storage Organizer for Closet, Clear Acrylic Display Case with Magnetic Door for Wallet, Book, Cosmetic, Toys, Clutch Organization 3 Pack","Attelite","$32.98","611","12","$20,151","03/23/2022","$15.67","4.7","285","$17.31","74,717","7","FBA","1","Home & Kitchen","Oversize","8.7 x 10.6 x 14.2 in","9.22 lb","https://www.amazon.com/dp/B09WF8MC9D"
"","","B09R2KMKQP","mDesign Plastic Divided Clutch Organizer for Closets, Bedrooms, Dressers - Closet Shelf Storage Solution for Purses, Wallets, Bill Folds, and Accessories, 7 Sections, Lumiere Collection, 2 Pack, Clear","mDesign","$47.99","1,635","30","$78,464","02/06/2022","$29.95","4.6","3,398","$18.04","31,465","6","FBA","1","Home & Kitchen","Oversize","11.969 x 18.189 x 3.78 in","3.946 lb","https://www.amazon.com/dp/B09R2KMKQP"
"","","B0CL25FDTQ","FITYE-KY Folding Storage Bins, 8.5 Gallon Folding Storage Bins, Stackable Storage Bins, Wardrobe Organizer Plastic Foldable Storage Bins, Storage Cabinets with Lid, Storage Bins with Doors, 2-Pack","FITYE-KY","$45.99","30","1","$1,380","10/16/2023","","4.1","9","","597,613","","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CL25FDTQ"
"","","B09MK34HL5","5 Tier Closet Hanging Organizer, Clothes Hanging Shelves with 4 Hanging Hooks 5 S Hooks, Wire Storage Basket Bins, for Clothing Sweaters Shoes Handbags Clutches Accessories Patent Design","X-cosrack","$45.99","968","33","$44,518","05/08/2022","$30.56","4.6","388","$15.43","28,575","7","FBA","8","Home & Kitchen","Standard","10.91 x 13.11 x 6.73 in","10.249 lb","https://www.amazon.com/dp/B09MK34HL5"
"","","B0C4H3Z6K7","Durmmur 2 Pack Hat Racks for Baseball Caps, Stainless Steel Hat Organizer for Baseball Cap, Hat Holder Storage Organizer, Hat Hanger Strong Adhesive/Wall Drilled for Door,Bedroom,Closet(Black)","Durmmur","$5.95","18,593","872","$110,628","05/05/2023","$1.52","4.4","649","$4.43","229","7","FBA","1","Home & Kitchen","Standard","3.14 x 2.08 x 6.77 in","0.35 lb","https://www.amazon.com/dp/B0C4H3Z6K7"
"","","B08P16KRQJ","Pinkpum Stackable Plastic Storage Basket-Foldable Closet Organizers and Storage Bins 4 Pack-Drawer Shelf Storage Container for Wardrobe Cupboard Kitchen Bathroom Office 4L","Pinkpum","$37.99","3,805","94","$144,552","11/22/2020","$24.66","4.4","2,315","$13.33","8,511","7","FBA","4","Home & Kitchen","Standard","5.1 x 16.5 x 12.6 in","6.65 lb","https://www.amazon.com/dp/B08P16KRQJ"
"","","B09DX3QGPT","AWTATOS Cube Storage Organizer, Shelves Bookshelf, 6 Cube Closet Organizers and Storage, DIY Stackable Plastic Clothes Organizer Shelving for Bedroom, Home Office, White","AWTATOS","$29.99","2,963","100","$88,860","08/28/2021","$17.56","4.5","1,465","$12.43","7,864","6","FBA","2","Home & Kitchen","Standard","3.9 x 14.9 x 12.9 in","8.8 lb","https://www.amazon.com/dp/B09DX3QGPT"
"","","B08R9P9CJL","YIHONG Clear Pantry Storage Organizer Bins, 6 Pack Plastic Storage Containers with Handle for Kitchen,Refrigerator, Freezer,Cabinet,Closet,Bathroom Under Sink Organization","YIHONG","$24.98","10,793","341","$269,609","12/27/2021","$8.87","4.6","4,196","$16.11","361","7","FBA","2","Kitchen & Dining","Oversize","12.32 x 13.62 x 8.15 in","6.131 lb","https://www.amazon.com/dp/B08R9P9CJL"
"","","B0BBV8SQNY","Amllas 8 Pack Shoe Boxes Clear Plastic Stackable, Large Shoe Storage Organizer with Lids,Drop Side Shoe Containers for Entryway,Sneaker Storage Fit up to US Size 13 for Men/Women(13x 10.6x 8.3)","Amllas","$67.99","3,681","104","$250,271","08/24/2022","","4.2","639","","7,488","7","FBA","2","Home & Kitchen","","","","https://www.amazon.com/dp/B0BBV8SQNY"
"","","B0CHDW8J4W","PRANDOM Stackable Clear Storage Bins with Lids,70 Qt Plastic Collapsible Organizer Containers Boxes with Doors for Closet Living Room Bedroom White 15x11.2x8.7 x 3-Pack","PRANDOM","$39.99","930","31","$37,191","","","4.7","73","","29,889","","FBA","","Home & Kitchen","","","","https://www.amazon.com/dp/B0CHDW8J4W"
