"Export time:  2/5/2024, 2:06:13 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CQ469VST","New Gen Fiber Optic Iron Sights, Flip Up Front and Rear Backup Sights with Green Red Fiber Optics Dots, Tool-Free Adjustable Front Sight Rapid Transition","GRWOLF","$28.89","150","5","$4,334","12/12/2023","$19.14","4.8","23","$9.75","49,215","6","FBA","1","Sports & Outdoors","Standard","5 x 0.92 x 5.95 in","8 oz","https://www.amazon.com/dp/B0CQ469VST"
"","","B08LYF4BJP","Walker's Razor Slim Earmuffs","Walker's","$59.99","26,570","1,159","$1.59M","06/06/2019","$45.20","4.8","60,131","$14.79","11","4","AMZ","6","Sports & Outdoors","Standard","5.91 x 4.09 x 5.98 in","0.46 kg","https://www.amazon.com/dp/B08LYF4BJP"
"","","B0C65WPJ6X","Vanderfields Ear Protection - Noise Canceling Headphones Kids - Ear Muffs for Autism, Boys, Girls, Toddlers - Age 3-16 - 26dB","Vanderfields","$17.99","3,041","69","$54,708","09/25/2019","$11.52","4.5","10,358","$6.47","4,593","","FBA","1","Tools & Home Improvement","Standard","4.72 x 3.74 x 4.92 in","8.47 oz","https://www.amazon.com/dp/B0C65WPJ6X"
"","","B0C2799SDQ","PROHEAR 016 Ear Protection Safety Earmuffs for Shooting, NRR 26dB Noise Reduction Slim Passive Hearing Protector with Low-Profile Earcups, Compact Foldable Ear Defenders for Gun Range, Hunting,Grey","PROHEAR","$18.36","1,839","89","$33,764","04/11/2023","$11.84","4.6","4,979","$6.52","1,694","7","FBA","1","Sports & Outdoors","Standard","3.62 x 4.8 x 4.37 in","7.4 oz","https://www.amazon.com/dp/B0C2799SDQ"
"","","B0CP8GRVRB","Small Military Tactical Backpack Army Assault Rucksack GYM Hiking Bug Out Bag","HYKING","$27.99","135","5","$3,779","12/25/2023","","4.9","25","","47,657","","FBA","2","Sports & Outdoors","","","","https://www.amazon.com/dp/B0CP8GRVRB"
"","","B0CLCZGPKC","OneTigris Tactical Goggles Over Glasses, Anti Fog Tactical Eyeglasses, Safety OTG Goggles Protection with Interchangeable Len","OneTigris","$25.98","101","1","$2,624","03/23/2023","$18.31","4.3","91","$7.67","162,570","","FBA","1","Sports & Outdoors","Standard","4.09 x 3.43 x 8.15 in","8.15 oz","https://www.amazon.com/dp/B0CLCZGPKC"
"","","B098TTVNXZ","JIALITTEQDAdapterStudforSwivelMount,QuickDetachableSwivelAdapter(QDAdapter2Pack)","JIALITTE","$13.99","120","4","$1,679","07/06/2021","$8.35","4.6","106","$5.64","53,469","6","FBA","1","Sports & Outdoors","Standard","1.5 x 1.2 x 2.3 in","0.088 lb","https://www.amazon.com/dp/B098TTVNXZ"
"","","B07GBY1TSW","KOOPEEN MOLLE Pouches Tactical EDC Compact Multi-Purpose Water-Resistant Utility Gadget Gear Hanging Waist Bags Sling","LECPECON","$12.99","888","40","$11,535","09/11/2018","$7.27","4.5","690","$5.72","4,777","6","FBA","1","Sports & Outdoors","Standard","9.57 x 2.2 x 9.92 in","0.23 kg","https://www.amazon.com/dp/B07GBY1TSW"
"","","B08WK79727","3M Pro-Protect + Gel Cushions Electronic Hearing Protector with Bluetooth Wireless Technology, NRR 26 dB, Black, Medium","3M","$78.57","472","17","$37,085","02/11/2021","$60.99","4.2","990","$17.58","20,818","7","AMZ","3","Tools & Home Improvement","Standard","7.13 x 4.69 x 9.31 in","1.83 lb","https://www.amazon.com/dp/B08WK79727"
"","","B0CLG6X6Z1","SMALLRIG Side Handle for Arca, 36mm Up and Down Adjustable, Left or Right Side Ergonomic Handgrip for Camera Cages with Plate for Arca, Built-in 1/4'-20 Threaded Hole, Strap Slot, Cold Shoe - 4416","SMALLRIG","$49.90","","","","12/20/2023","","","","","1,708","","FBA","1","Professional Video Stabilizers","","","","https://www.amazon.com/dp/B0CLG6X6Z1"
"","","B08VWY1FZN","awesafe Electronic Shooting Earmuffs Ear Hearing Protection Headphones for Shooter Noise Reduction Sound Amplification","awesafe","$36.99","456","15","$16,867","04/01/2022","$26.92","4.7","8,118","$10.07","14,693","7","FBA","1","Sports & Outdoors","Standard","5.43 x 4.25 x 6.02 in","13.76 oz","https://www.amazon.com/dp/B08VWY1FZN"
"","","B07BWH2V1H","Vanderfields Hearing Protection Headphones 20dB Noise Reduction, Noise Cancelling Ear Muffs for Adults-Passive Ear Protection","Vanderfields","$15.99","2,040","68","$32,620","05/18/2021","$9.82","4.4","13,208","$6.17","4,641","6","FBA","1","Tools & Home Improvement","Standard","5.71 x 3.94 x 6.5 in","8.15 oz","https://www.amazon.com/dp/B07BWH2V1H"
"","","B08D2NQLCJ","TPO SK4 Two Point Slings Adapters Connection Accessories Hand Tools","TPO","$6.99","399","17","$2,789","07/16/2020","$3.02","4.5","506","$3.97","13,027","4","FBA","3","Sports & Outdoors","Standard","6.02 x 0.51 x 8.78 in","0.08 kg","https://www.amazon.com/dp/B08D2NQLCJ"
"","","B084NVF1T5","Magpul Technical Glove Lightweight Work Gloves","Magpul","$23.04","2,623","82","$60,434","05/11/2016","$15.94","4.6","2,474","$7.10","1,888","5","AMZ","13","Sports & Outdoors","Standard","3.8 x 1.1 x 12.5 in","2.4 oz","https://www.amazon.com/dp/B084NVF1T5"
"","","B09MGH5CWV","ST02DR Fiber Optics Front and Rear Sights Flip Up Picatinny Rail Mounted Backup Iron Sights (Red)","TPO","$29.99","30","1","$899.70","11/22/2021","","4.2","32","","151,205","5","FBA","1","Sports & Outdoors","","","","https://www.amazon.com/dp/B09MGH5CWV"
"","","B07X63FWJW","Missouri Tactical Products LLC ARecoil Pad for 6-Position Adjustable Stock (Black)","Missouri Tactical Products LLC","$17.95","139","6","$2,495","08/27/2019","$11.72","4.6","806","$6.23","41,588","5","FBA","2","Sports & Outdoors","Standard","3.58 x 1.57 x 7.01 in","0.15 kg","https://www.amazon.com/dp/B07X63FWJW"
"","","B06W576CHT","Walker's Razor Quad Electronic Muffs- 4 Mic 360 Degree Sound Capture","Walker's","$67.03","1,892","68","$126,821","02/07/2019","$51.21","4.5","3,491","$15.82","2,472","5","AMZ","52","Sports & Outdoors","Standard","7.95 x 9.72 x 4.17 in","1.01 lb","https://www.amazon.com/dp/B06W576CHT"
"","","B0938TMF9S","ISOtunes Sport DEFY Shooting Earmuffs: Rechargeable Bluetooth Hearing Protection","ISOtunes","$139.99","55","2","$7,699","05/23/2021","$113.85","4.3","67","$26.14","119,963","6","FBA","2","Sports & Outdoors","Standard","0.39 x 0.39 x 0.39 in","1 lb","https://www.amazon.com/dp/B0938TMF9S"
"","","B08L4F6Y4Y","PROHEAR 056 Electronic Shooting Ear Protection Muffs, NRR 30dB Noise Reduction for Gun Range, Sound Amplification Earmuffs for Hunting","PROHEAR","$54.75","165","3","$9,034","10/12/2020","$41.40","4.4","379","$13.35","80,565","7","FBA","1","Sports & Outdoors","Standard","6.34 x 4.17 x 8.11 in","1 lb","https://www.amazon.com/dp/B08L4F6Y4Y"
"","","B07Y464112","G & F Products Earmuff Hearing Protection with Low Profile Passive Folding Design 26Db NRR & Reducesup To 125Db Noise Reduction, For Both Aduit & Kids Adjustble Headband, Pink, 13010PK","G & F Products","$11.99","779","24","$9,340","09/18/2019","$6.42","4.4","3,210","$5.57","8,642","6","AMZ","2","Sports & Outdoors","Standard","3 x 4 x 5 in","8 oz","https://www.amazon.com/dp/B07Y464112"
"","","B0746JVYJW","YYHJ 12 Sets KeyMod Rail Screws","YYHJ","$7.99","103","4","$822.97","08/19/2017","$3.87","4.4","320","$4.12","57,256","4","FBA","1","Sports & Outdoors","Standard","2.8 x 0.2 x 2.8 in","0.02 kg","https://www.amazon.com/dp/B0746JVYJW"
"","","B07DKRXCB5","Missouri Tactical M27/HK416 Style Recoil Pad","Missouri Tactical","$18.95","103","3","$1,952","06/06/2018","$12.57","4.6","1,008","$6.38","66,951","4","FBA","1","Sports & Outdoors","Standard","3.19 x 1.65 x 6.18 in","0.13 kg","https://www.amazon.com/dp/B07DKRXCB5"
"","","B08771WZBY","Feyachi FL22-MB Tactical Flashlight 1200 Lumen LED Weapon Light with Low Profile Mlok Flashlight Mount, Pressure Switch","Feyachi","$39.98","387","14","$15,472","04/16/2020","$28.84","4.5","2,416","$11.14","15,506","6","FBA","2","Sports & Outdoors","Standard","6.65 x 1.65 x 8.46 in","0.41 kg","https://www.amazon.com/dp/B08771WZBY"
"","","B07D1B9ZBL","Missouri Tactical A2 Hand Grip Sleeve","Missouri Tactical","$10.95","12","","$131.40","05/10/2018","$5.77","4.4","108","$5.18","318,806","4","FBA","1","Sports & Outdoors","Standard","3.7 x 1.38 x 4.25 in","0.03 kg","https://www.amazon.com/dp/B07D1B9ZBL"
"","","B098WBFGLG","TPO M-Lok QD Sling Swivel Mount Quick Detach Sling Attachment with Push Button for Mlok (MD6)","TPO","$25.99","","","$4,288","03/08/2021","$14.98","4.5","34","$11.01","279,557","","FBA","1","Sports & Outdoors","Standard","6 x 1 x 9 in","0.55 lb","https://www.amazon.com/dp/B098WBFGLG"
