"Export time:  2/1/2024, 11:02:52 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0C6YC6C1Y","HENABLE Clear Acrylic Perfume Display Stand Organizer, 3 Tier Cupcake Stand Risers for Food, Tabletop Use, Amiibo Funko POP Figures","HENABLE","$6.99","6,180","255","$43,198","08/24/2023","","4.3","355","","2,129","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C6YC6C1Y"
"","","B0C9TSWFY2","AISIDERK 12' Acrylic Riser, Acrylic Shelves - 3-Tier Clear Perfume Organizer,Sturdy and Stable Acrylic Organizer for Display Decorative,Skincare Organizers for Countertop, Tabletop, Collectibles, Nail","AISIDERK","$9.99","2,102","66","$20,999","08/05/2023","","4.3","229","","13,125","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C9TSWFY2"
"","","B0C5ZQGNKJ","MOCAS Cologne Organizer for Men 3 Tier Cologne Stand Cologne Holder with 2 Hidden Compartment, Wooden Perfume Organizer Cologne Display Shelf, Perfume Holder, Dresser Organizer, Ideal Gift for Men","MOCAS","$37.99","95","7","$3,609","05/22/2023","$26.50","4.5","25","$11.49","122,866","7","FBA","1","Home & Kitchen","Standard","15 x 2.9 x 9.4 in","2.84 lb","https://www.amazon.com/dp/B0C5ZQGNKJ"
"","","B0C5XCD5S6","COZYYROME Wood Cologne Organizer for Men - 3 Tier Cologne Stand Perfume Organizer with 3 Hidden Compartments,Perfume Display Holder for Cologne,Mens Organizer Station for Dresser, Beside, Men's Gift","COZYYROME","$26.49","229","3","$6,066","07/05/2023","$16.09","4.7","11","$10.40","286,396","7","FBA","1","Home & Kitchen","Standard","9 x 4.1 x 12.5 in","1.87 lb","https://www.amazon.com/dp/B0C5XCD5S6"
"","","B0CBBTC95S","3-Tier Cologne Organizer for Men, Wood Perfume Organizer with Drawer, Cologne Stand Organizer for Organizing and Storage, Perfume Holder for Mens Room Decor, Perfume Display Shelf, Gift for Men Women","ANRXNCY","$28.99","164","2","$4,754","07/06/2023","$17.91","4.2","4","$11.08","332,269","7","FBA","1","Home & Kitchen","Standard","9.76 x 4.65 x 13.23 in","2.25 lb","https://www.amazon.com/dp/B0CBBTC95S"
"","","B0CNR98S7Y","Kevenal Acrylic Riser Stand, 3 Tier Cologne Organizer Shelf for Perfume, Funko Pop, Dolls, Cupcake - Black, Thick","Kevenal","$9.99","60","2","$599.40","01/13/2024","","3.8","5","","303,801","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CNR98S7Y"
"","","B0CGCZQBVN","Wooden Cologne Organizer for Men 3-4 Tier | Designed Gift Box and Bottom Filled Perfume Travel Bottle | Large Cologne Stand Display Shelf | Long Matt Black Perfume Storage | Cologne Holder Tray","SeLuM","$39.99","120","4","$4,799","08/22/2023","","4.1","4","","230,118","5","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CGCZQBVN"
"","","B0CHWL79JB","360 Rotating Makeup Organizer, Spinning Bathroom Organizer Countertop, Makeup Organizer for Vanity, Large Capacity Make up Caddy Shelf, Fits Cosmetics, Perfume, Skin Care, Lipsticks (2 Tiers, Green)","Vemoky","$20.99","270","9","$5,667","","","4.6","30","","50,287","","FBA","","Beauty & Personal Care","","","","https://www.amazon.com/dp/B0CHWL79JB"
"","","B07HPJ1HX3","Furinno Rossi Wall Mount Floating Corner Shelf, 5-Tier Radial, French Oak Grey/Black","Furinno","$18.99","1,223","36","$23,225","09/25/2018","$3.78","4.4","4,528","$15.21","25,500","6","AMZ","8","Home & Kitchen","Oversize","9.4 x 18.75 x 3.5 in","9.2 lb","https://www.amazon.com/dp/B07HPJ1HX3"
"","","B0BSD76DDV","NiHome Acrylic Perfume Display Organizer, 2-Tier Cologne Organizer, Makeup Holder with Self-Adhesive Rhinestone Ribbon,Handmade Vanity Storage Versatile Countertop Tray for Cosmetics Toiletries(Grey)","NiHome","$19.99","152","9","$3,038","01/14/2023","$11.85","3.9","16","$8.14","102,736","7","FBA","1","Home & Kitchen","Standard","9.69 x 1.38 x 14.84 in","1.26 lb","https://www.amazon.com/dp/B0BSD76DDV"
"","","B0CJQVXB3W","Megsooul Wooden Cologne Organizer for Men,3 Tier Cologne Display Shelf with Drawer and Hidden Compartment,Vintage Perfume Stand Organizer Perfume Organization and Storage Display Risers","Megsooul","$31.99","30","1","$959.70","12/22/2023","","4.8","6","","465,087","","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CJQVXB3W"
"","","B01LYTW60X","Uncluttered Designs Large Black Vanity Organizer - Countertop Mens Organizer With Drawers for Cologne, Deodorant, Beard, Shaving Lotion, Perfume & Skincare - Perfect for Bathroom & Bedroom Storage","Uncluttered Designs","$19.97","494","8","$9,865","12/05/2016","$9.04","4.5","9,746","$10.93","58,095","6","FBA","1","Beauty & Personal Care","Standard","7.244 x 11.614 x 5.591 in","0.904 lb","https://www.amazon.com/dp/B01LYTW60X"
"","","B0BPXZYRG2","360 Rotating Storage Tray, Dial Diameter 11.02', Cosmetics and Perfume Organizer, Bathroom Storage Tray for Cosmetics and Skin Care Products Large Capacity, Transparent (11.02 * 11.02 * 1.97inches)","ARSTPEOE","$16.99","4,690","106","$79,683","12/15/2022","","4.7","660","","7,299","4","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BPXZYRG2"
"","","B0C6XQ6WZV","Homde Cologne Organizer for Men - 4 Tier Perfume Display Tray with Hidden Drawers - Perfect for Men Essentials Accessories - A Great Gift for Men","Homde","$39.99","101","2","$4,039","06/01/2023","$26.96","4.5","11","$13.03","132,323","7","FBA","3","Beauty & Personal Care","Standard","10.5 x 3.9 x 10.5 in","5.74 lb","https://www.amazon.com/dp/B0C6XQ6WZV"
