"Export time:  2/5/2024, 2:38:40 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0B8HGBVGT","Tuanse 3 Sets Under Bed Blocker for Pet, Toy Blocker Under Couch Bumper Under Bed Barrier for Furniture, Stop Pets Toy Going Under Bed or Sofa, Easy to Install, 78.7' Length 7' Height","Tuanse","$32.99","119","3","$3,926","08/02/2022","","3.7","56","","45,371","7","FBA","4","Pet Supplies","","","","https://www.amazon.com/dp/B0B8HGBVGT"
"","","B09VYWBGHS","Boao Under Bed Blocker for Pets 236 x 6 Inch Toy Blocker for Under Couch with 10 Black Nylon Zip Ties Under Furniture Blocker Under Couch Bumper Under Couch Guard for Dog Cat Pet Home Accessories","Boao","$22.99","84","4","$1,931","03/18/2022","$15.77","2.9","95","$7.22","37,438","7","FBA","1","Pet Supplies","Standard","7.05 x 0.83 x 9.41 in","11.99 oz","https://www.amazon.com/dp/B09VYWBGHS"
"","","B09V2Y2Y2V","Under Bed Blocker for Pets with Black Zip Ties, Toy Blocker for Under Bed Blocker Under Bed Barrier for Dogs Cats Pets Puppy Toy Furniture Bed Bottom, Black, 220 x 6 Inch","Boao","$19.99","133","4","$2,659","03/07/2022","$13.22","2.5","191","$6.77","40,583","7","FBA","1","Pet Supplies","Standard","6.299 x 1.969 x 7.874 in","0.441 lb","https://www.amazon.com/dp/B09V2Y2Y2V"
"","","B0BW161N11","mioule Under Bed Blocker for Pets - Under Couch Blocker - Toy Couch Blocker for Under Couch Pets King Size - 8 Packs Bed Stoppers 15.74' L X 7.87' H with Strong Adhesive for Hard Surface Floors Only","mioule","$29.97","102","3","$3,057","02/15/2023","$18.74","4.1","16","$11.23","46,484","6","FBA","1","Pet Supplies","Standard","8 x 2 x 16 in","4.49 lb","https://www.amazon.com/dp/B0BW161N11"
"","","B094XLQKGX","Toy Blocker, Extra Tall Size Gap Bumper for Under Bed, Stop Pets Toys Going Under Bed or Sofa Couch, Easy to Install, 11.8' Height 83' Length","QIYIHOME","$26.99","","","$0.00","05/13/2021","$17.15","3.8","1,487","$9.84","100,932","6","FBA","1","Pet Supplies","Standard","12.6 x 2.36 x 12.8 in","2.65 lb","https://www.amazon.com/dp/B094XLQKGX"
"","","B0C1BHVLF6","Under Bed Blocker for Pets, 83L x 12H Keep Toys from Going Under Bed or Furniture with Sticky Double Side Tape, Connectors and Zip Ties, Black","Hiflora","$21.99","75","3","$1,649","04/03/2023","$-59.22","3.8","4","$81.21","44,653","6","FBA","1","Pet Supplies","Oversize","11.8 x 11.8 x 83 in","2.67 lb","https://www.amazon.com/dp/B0C1BHVLF6"
"","","B09ZTP9QZH","Treela 12 Pcs Under Couch Toy Blocker Black Couch Blocker for Pets Bumper for Under Furniture Baffle Board with Adjustable Guard to Stop Going Under Sofa Couch Bed Easy Install(5.6 Inch, 12 Pcs)","Treela","$29.99","857","34","$25,701","05/08/2022","$19.70","3.3","330","$10.29","27,049","6","FBA","1","Home & Kitchen","Standard","7.677 x 16.654 x 2.087 in","2.185 lb","https://www.amazon.com/dp/B09ZTP9QZH"
"","","B09JSK844V","QIYIHOME Toy Blocker, Extra Tall Size Gap Bumper for Under Bed, Stop Pets Toys Going Under Bed or Sofa Couch, New Version (Pearl White, 11.8' Height 83' Length)","QIYIHOME","$26.99","102","4","$2,753","10/04/2021","$17.15","4.1","74","$9.84","35,529","6","FBA","1","Pet Supplies","Standard","12.71 x 2.4 x 12.83 in","2.12 lb","https://www.amazon.com/dp/B09JSK844V"
"","","B0BMMWP4WX","Phildahome Under Couch Blocker for Kid and Pet Toys, Toy Blocker for Under Couch, Fits Standard Loveseats with Short Legs (108' x 3')","Phildahome","$19.99","1,101","36","$22,009","11/17/2022","$13.22","3.4","28","$6.77","25,740","6","FBA","1","Home & Kitchen","Standard","6.02 x 2.2 x 10.28 in","7.4 oz","https://www.amazon.com/dp/B0BMMWP4WX"
"","","B09Y8BYZWD","Shappy Toy Blocker for Under Couch Blocker for Under Sofa Adjustable Bed Blocker Under Couch Bumper for Pets Toys from Going Under Sofa(1 Pack,5 x 106 Inch), As Pictures Show","Shappy","$15.99","96","3","$1,535","04/18/2022","$9.82","4","34","$6.17","70,248","7","FBA","2","Office Products","Standard","7.76 x 2.68 x 7.83 in","11.3 oz","https://www.amazon.com/dp/B09Y8BYZWD"
"","","B09V58H6K1","4 Packs Toy Blocker for Under Couch Easy to Install Sofa Dog Blocker Black Couch Stoppers to Prevent Toys Adjustable Bumper Stop Things from Going Under Sofa for Pet Cat Dog Kids, 16.4 x 0.17 Feet","Hanaive","$22.99","54","2","$1,241","03/08/2022","$15.02","3","66","$7.97","62,747","7","FBA","1","Pet Supplies","Standard","7.33 x 5.28 x 8.79 in","15.2 oz","https://www.amazon.com/dp/B09V58H6K1"
"","","B0B6169H54","Vilemoon Under Bed Blocker Bumper for Under Furniture, Toy Blocker Stop Toy Going Under Couch, Easy to Install Under Sofa Barrier Pet Blocker for Pets Kids (90.6' L*9' H)","Vilemoon","$25.99","95","2","$2,469","07/06/2022","","3.3","38","","65,252","6","FBA","2","Pet Supplies","","","","https://www.amazon.com/dp/B0B6169H54"
"","","B09LFF4Y7P","BESTLUBE Under Bed Blocker for Pets King Size Bed, 7 inches High 6 Pack Bed Stoppers Under Bed, Pet Blocker with Strong Adhesive, Gap Stopper Under Couch or Bed to Stop Things Going Into","BESTLUBE","$28.99","76","2","$2,203","11/08/2021","$18.85","3.8","310","$10.14","55,010","7","FBA","1","Pet Supplies","Standard","7.8 x 2.76 x 14.09 in","2.14 lb","https://www.amazon.com/dp/B09LFF4Y7P"
"","","B0CKXLKN9B","APOCAlLIS Transparent Toy Blocker for Under Furniture, Under Couch Blocker (3.2' H 16' L)8 Pack Bed Blockers for Under Bed","Apocalis","$15.99","359","17","$5,740","11/30/2023","$8.45","4.4","12","$7.54","56,484","6","FBA","1","Home & Kitchen","Standard","2 x 3.2 x 16 in","1.68 lb","https://www.amazon.com/dp/B0CKXLKN9B"
"","","B09Y1VXLGK","8 Pack Under Bed Blocker for Pets 16' L x 4.7' H Under Couch Blocker Gap Bumper Stop Dogs/Cats Safety PVC Adjustable Clear Couch Guards Toys Blocker for Furniture Pet Barrier with Strong Adhesive","MOHOLD","$19.99","267","8","$5,337","04/19/2022","$-64.43","3.8","129","$84.42","23,312","6","FBA","1","Pet Supplies","Oversize","1.6 x 4.7 x 126 in","1.72 lb","https://www.amazon.com/dp/B09Y1VXLGK"
"","","B0CN4FWBSL","Hiflora Under Couch Blocker for Toys Under Bed Blocker for Pets 83' Length 11.8' Height in Total Under Furniture Blocker with Sticky Double Side Tape, Connectors and Zip Ties for Pets","","$21.99","","","","","","","","","107,875","","FBA","","Pet Supplies","","","","https://www.amazon.com/dp/B0CN4FWBSL"
"","","B0C7BR5MDW","Under Couch Bed Blocker for Pets, 6 pcs Toy Blockers for Under Furniture Keep Dog/Cat Off Couch Double Fixation Durable Detachable Pet Blocker, 82.7' L 7' H Black Pattern","LEICHTEN","$19.99","51","1","$1,019","06/06/2023","$11.40","4.3","6","$8.59","98,107","6","FBA","1","Pet Supplies","Standard","7 x 1 x 13.8 in","1.98 lb","https://www.amazon.com/dp/B0C7BR5MDW"
"","","B0CB33JWSR","HFYZZ 32.8 Feet Under Bed Blocker for Pets Adjustable Gap Bumper Toy Blocker for Under Couch with Adhesive Mounting Strap for Stopping Toys Going Under Bed Couch Sofa(1 Roll, 3.9 inch x 32.8 feet)","HFYZZ","$13.99","60","1","$839.40","07/03/2023","$8.12","2.6","8","$5.87","83,938","7","FBA","1","Pet Supplies","Standard","4.33 x 3.43 x 5.94 in","12 oz","https://www.amazon.com/dp/B0CB33JWSR"
"","","B094J8QKF3","90L Under Bed Storage Containers, 6 Pack Underbed Closet Storage Organizer System, Moving Bags with Clear Window and Reinforced Handles for Bedding Pillows Blanket Clothes Wardrobe Bedroom","Budding Joy","$35.99","15,608","474","$561,732","05/09/2021","$24.16","4.2","6,095","$11.83","748","7","FBA","1","Home & Kitchen","Standard","10.51 x 11.42 x 4.49 in","3.841 lb","https://www.amazon.com/dp/B094J8QKF3"
"","","B0BYJGQC2T","5 Pack Under Couch Blocker, 16' L x 5' H Under Bed Blocker for Pets Adjustable Clear Toy Blocker for Bed Couch Sofa,Stop Things Going to Under Furniture","Hiflora","$16.99","60","2","$1,019","01/11/2023","$9.45","4.6","11","$7.54","327,425","7","FBA","1","Home & Kitchen","Standard","5.71 x 2.05 x 16.65 in","1 lb","https://www.amazon.com/dp/B0BYJGQC2T"
"","","B0CBWTXBS5","2 Pieces 39.3 Feet Under Couch Blocker with Hook & Loop Tape, Adjustable Under Bed Blocker for Pets, Couch Bumpers for Under Couch Carpet, Furniture Gap Blocker Filler Barrier (4.3' W)","Huakaile","$22.99","60","2","$1,379","07/14/2023","$15.02","3.5","2","$7.97","376,316","6","FBA","1","Home & Kitchen","Standard","4.8 x 3.74 x 9.17 in","14.9 oz","https://www.amazon.com/dp/B0CBWTXBS5"
"","","B0C9GXZYG8","Sopicoz 32.8 Feet Under Couch Sofa Toy Blocker for Pets, 4 inch Cuttable Blocker Gap Bumper for Under Couch Bed","Sopicoz","$17.99","298","11","$5,361","06/26/2023","$10.15","3","19","$7.84","86,289","6","FBA","1","Home & Kitchen","Standard","4 x 4 x 5 in","1.34 lb","https://www.amazon.com/dp/B0C9GXZYG8"
"","","B0CB7L533B","Antimbee (8 Pack) Clear Under Furniture Blocker, Couch Guards for Bottom Gap, Sofa Dresser Underneath Toys or Pets Stopper for Home","Antimbee","$18.99","144","2","$2,735","07/05/2023","$10.35","5","2","$8.64","332,413","7","FBA","1","Home & Kitchen","Standard","2 x 3.54 x 16.14 in","2.18 lb","https://www.amazon.com/dp/B0CB7L533B"
"","","B09MHX8WVW","16 Pack Cat Repellent Outdoor Mat Cats Dogs Plastic Mats with Spikes Bendable Spiked Deterrent Training PET Mat Cat Repellent Mats for Indoor Outdoor Supplies, 18.3 Square Feet, 16 x 13 Inch (Clear)","Nuanchu","$31.99","455","17","$14,555","11/23/2021","$21.40","4.1","386","$10.59","12,830","6","FBA","3","Pet Supplies","Standard","13.74 x 1.61 x 17.4 in","2.95 lb","https://www.amazon.com/dp/B09MHX8WVW"
"","","B09HRZ88XZ","QIYIHOME Toy Blocker, Extra Tall Size Under Bed Blocker, Stop Pets Toys Going Under Furniture, Easy to Install, 11.8' Height 83' Length","QIYIHOME","$26.99","42","3","$1,134","10/04/2021","$17.15","3.8","375","$9.84","50,417","6","FBA","1","Pet Supplies","Standard","12.76 x 2.44 x 12.8 in","2.68 lb","https://www.amazon.com/dp/B09HRZ88XZ"
"","","B095MTGHTF","QIYIHOME 5-Pack Toy Blocker, Extra High Size Gap Bumper for Under Furniture, BPA Free Safe PVC with Strong Adhesive, Stop Things Going Under Sofa Couch or Bed, Easy to Install 9.5' Height","QIYIHOME","$28.99","866","35","$25,105","05/22/2021","$18.85","4","473","$10.14","26,517","6","FBA","1","Home & Kitchen","Standard","10.4 x 2.2 x 16.8 in","2.98 lb","https://www.amazon.com/dp/B095MTGHTF"
"","","B0BXB8DNZQ","Under Couch Blocker, 8 Pack 4,7''Height Under Bed Blocker for Pets, Toy Blockers for Furniture, Clear Cat/Dog blockers, Strong Adhesive PVC Clear Couch Gap Blocker for Hardfloor","SKRUHIA","$15.99","60","1","$959.40","03/01/2023","$10.05","3.8","49","$5.94","76,386","7","FBA","30","Pet Supplies","Standard","1.57 x 4.72 x 15.75 in","3.53 oz","https://www.amazon.com/dp/B0BXB8DNZQ"
