"Export time:  2/14/2024, 1:30:03 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0BYF8Y3HM","Gear Zone Organizer with Hand Pump | Sports Equipment Storage | Multi-Purpose | Adjustable | Space-Saving | Ball Holder | Ski and Bike Helmets | Bike Shoes | Accessories","Gear Zone","$34.99","45","2","$1,575","03/22/2023","","4.4","6","","118,829","6","FBA","1","Sports & Outdoors","","","","https://www.amazon.com/dp/B0BYF8Y3HM"
"","","B09C88GDWM","7-Inch Uncoated High Density Foam Ball - for Over 3 Years Old Kids Foam Sports Balls - Soft and Bouncy, Lightweight and Easy to Grasp Foam Silent Balls are Safe for Younger Children","Buhoet","$16.99","240","8","$4,078","06/02/2021","$11.20","4.3","227","$5.79","36,042","6","FBA","1","Toys & Games","Standard","6.81 x 6.77 x 7.28 in","0.13 kg","https://www.amazon.com/dp/B09C88GDWM"
"","","B0CBNCJ87Q","WAWAWEWA The Official Silent Basketball | Size 7 (29.5') ; Foam Ball for Quiet Dribbling and Indoor Training","WAWAWEWA","$44.99","1,286","35","$57,857","07/18/2023","$23.98","3.5","199","$21.01","5,665","6","FBA","1","Sports & Outdoors","Oversize","10 x 9 x 10 in","0.32 kg","https://www.amazon.com/dp/B0CBNCJ87Q"
"","","B0CLK9XSK4","CARTICOMTY Professional Silent Indoor Basketball, Size 7 Quiet Dribbling Training Foam Ball, Durable for Indoor Play, Noise-Absorbing Technology for Silent Practice, Perfect for Aspiring Athletes","CARTICOMTY","$39.99","332","16","$13,277","10/21/2023","$23.53","4.8","8","$16.46","13,764","6","FBA","1","Sports & Outdoors","Oversize","8.66 x 8.66 x 8.66 in","1.69 lb","https://www.amazon.com/dp/B0CLK9XSK4"
"","","B0CSVLPXZJ","Silent Basketball, Quiet Basketball Indoor, Uncoated High-Density Foam Ball, Soft, Flexible, Lightweight, and Easy to Grip for Various Indoor Activities (No. 5)","Generic","$25.99","285","10","$7,407","01/19/2024","$18.32","","","$7.67","22,101","","FBA","1","Sports & Outdoors","Standard","6.34 x 4.02 x 6.46 in","0.31 kg","https://www.amazon.com/dp/B0CSVLPXZJ"
"","","B0BYT2JRJ6","Botabee Foam Balls for Babies and Kids - Soft and Lightweight Grip Balls for Toddlers - Soft Foam Dodgeballs - Silent Ball for Classroom Indoor Play - Uncoated High Density Construction","Botabee","$13.99","235","5","$3,288","08/31/2023","$8.47","4.4","26","$5.52","58,547","6","FBA","1","Toys & Games","Standard","6.65 x 6.26 x 9.76 in","0.12 kg","https://www.amazon.com/dp/B0BYT2JRJ6"
"","","B08MZ7RFPT","i-Scream Balloon Ball - 7.9' (20 cm) Soccer Ball Size, Washable, Safe, and Soft Suede Material Cover with Balloon Inflation Pipe for Indoor and Outdoor, PE/Classroom Activities, Parties, and Games","I-SCREAMMEDIA","$12.99","242","8","$3,144","11/07/2020","$7.50","3.9","175","$5.49","27,243","7","FBA","1","Sports & Outdoors","Standard","4.09 x 1.81 x 6.06 in","0.06 kg","https://www.amazon.com/dp/B08MZ7RFPT"
"","","B0CBK1JMD6","Street Hockey Balls - Official Outdoor Roller Balls for Indoor Games, Ideal for Sports Enthusiasts","Golden Sport","$39.99","128","2","$5,119","09/19/2023","$25.76","4.6","49","$14.23","98,633","7","FBA","1","Sports & Outdoors","Standard","9.45 x 5.83 x 10.83 in","1.44 kg","https://www.amazon.com/dp/B0CBK1JMD6"
"","","B0BGQLN47X","SiQ Smart Basketball & App - Shoot Better Now - Interactive AI Outdoor/Indoor Shot Training Equipment - Practice Aid for NBA-Level Shooting for Basketball Players - Pro Leather Ball","SiQ","$149.98","178","6","$26,696","09/30/2022","$112.46","4.2","159","$37.52","40,491","7","FBA","2","Sports & Outdoors","Oversize","10 x 9.75 x 10.75 in","0.98 kg","https://www.amazon.com/dp/B0BGQLN47X"
"","","B0CTGR2M7X","Silent Basketball, 2024 The Handleshh Silent Basketball Dribbling Indoor, Hush Handle Foam Training Ball, Quiet Bounce No Noise Sound Basketball","Generic","$25.99","345","15","$8,967","01/28/2024","$18.32","","","$7.67","14,927","7","FBA","1","Sports & Outdoors","Standard","6.77 x 3.46 x 7.36 in","0.33 kg","https://www.amazon.com/dp/B0CTGR2M7X"
"","","B0CS673C6X","rytopt Indoor Basketball Silent, Quiet Dribbling Hush Handle Foam Training Ball, Uncoated High-Elasticity Foam Ball, Quiet Bounce No Noise Sound Basketball, Various Indoor & Outdoor Activities","rytopt","$19.99","270","9","$5,397","","","","","","26,764","","","","Sports & Outdoors","","","","https://www.amazon.com/dp/B0CS673C6X"
"","","B0CSXTBW69","Lamvpker Baby Basketball Silent - Hush Handle - Quiet Dribbling Ball - High-Elasticity Foam - Various Indoor & Outdoor Activities - Experience Low Noise Play (Size:NO.7)","Lamvpker","$25.99","210","7","$5,458","01/21/2024","$19.60","1","2","$6.39","32,981","5","FBA","1","Sports & Outdoors","Standard","11 x 1 x 11 in","3.2 oz","https://www.amazon.com/dp/B0CSXTBW69"
"","","B0CLRKKZTB","GBPLAIN Silent Foam Basketball Set - 18cm Mini Basketball Toys Set - Kids Sports Balls Quiet Basketball Dribbling Indoor - Soft Indoor Outdoor Basketball Games - Great Fun for Kids","GBPLAIN","$15.99","234","9","$3,742","10/24/2023","$10.05","5","2","$5.94","34,293","7","FBA","1","Toys & Games","Standard","7.09 x 7.01 x 7.09 in","0.14 kg","https://www.amazon.com/dp/B0CLRKKZTB"
"","","B0CQ2TBW6V","Ovveroche Silent Basketball, Foam Basketball Quiet Bounce Basketball Uncoated High-Density Foam Ball Low Noise Basketball Training Silent Basketball Dribbling Indoor Silent Ball","Ovveroche","$17.98","300","8","$5,394","12/11/2023","$11.06","2","1","$6.92","29,818","7","FBA","1","Sports & Outdoors","Standard","8.46 x 7.96 x 8.46 in","193 g","https://www.amazon.com/dp/B0CQ2TBW6V"
"","","B0CR36MH5Y","Silent Basketball, Indoor Silent Basketball, uncoated high-Density Foam Ball, Soft, Flexible, Light, Easy to Grip, Suitable for Various Indoor Activities (No. 5)","Generic","$30.99","611","4","$18,935","12/27/2023","$20.55","5","2","$10.44","52,262","7","FBA","1","Sports & Outdoors","Standard","7.01 x 3.7 x 7.09 in","0.35 kg","https://www.amazon.com/dp/B0CR36MH5Y"
"","","B0CSFM71RP","YIWONFU Silent Basketball, 2023 Newest Foam Basketball Indoor Training Ball,san hao","YIWONFU","$23.99","300","10","$7,197","01/15/2024","$16.85","","","$7.14","22,480","6","FBA","1","Sports & Outdoors","Standard","6 x 6 x 8 in","0.16 kg","https://www.amazon.com/dp/B0CSFM71RP"
"","","B0CBBN2ZN4","Limecute Silent Ball Basketball Indoor Training Quiet Ball Soft Foam Ball Highly Elastic in The Lab Silent Basketball","Limecute","$9.99","209","12","$2,088","08/15/2023","$2.30","4","33","$7.69","19,660","5","FBM","2","Sports & Outdoors","Standard","5.63 x 3.15 x 6.89 in","0.35 kg","https://www.amazon.com/dp/B0CBBN2ZN4"
"","","B0CQWVLL44","Silent Basketball, 2024 Newest Foam Basketball Indoor Training Ball, Uncoated High-Density Foam Ball Low Noise Basketball Training for Various Indoor Activities","Generic","$30.99","400","4","$12,396","12/25/2023","$22.57","1.9","22","$8.42","55,634","7","FBA","1","Sports & Outdoors","Standard","6.57 x 3.86 x 7.72 in","0.33 kg","https://www.amazon.com/dp/B0CQWVLL44"
"","","B0CQ3Y6HGD","Silent Basketball | Size 7 (29.5') | Indoor Basketball | Quiet Basketball | Foam Basketball | Silent Basketball Dribbling Indoor | Silent Ball","Generic","$49.99","108","","$5,399","12/12/2023","$27.85","","","$22.14","280,247","7","FBA","1","Sports & Outdoors","Oversize","10 x 10 x 10 in","0.32 kg","https://www.amazon.com/dp/B0CQ3Y6HGD"
