"Export time:  2/5/2024, 2:37:48 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0C9D8Q327","melos 8FT Wedding Arch Round Backdrop Stand, Circle Metal Floral Balloon Arch Stand for Birthday, Backdrop Stand for Parties, Bridal Shower Anniversary Ceremony Candy Tables Celebration, Gold","melos","$39.99","489","19","$19,555","09/15/2023","","4.2","48","","10,397","7","FBA","1","Patio, Lawn & Garden","","","","https://www.amazon.com/dp/B0C9D8Q327"
"","","B0BX23XV7B","Inflatable Color Changing Arch","Generic","$180.00","60","","$10,800","11/05/2023","","5","1","","220,851","5","FBA","2","Patio, Lawn & Garden","","","","https://www.amazon.com/dp/B0BX23XV7B"
"","","B01M1O1147","1. GO Steel Garden Arch, 7'8' High x 4'5' Wide, Garden Arbor for Various Climbing Plant, Outdoor Garden Lawn Backyard","1. GO","$45.99","203","13","$9,336","03/08/2017","","4.3","630","","15,794","6","FBA","2","Patio, Lawn & Garden","","","","https://www.amazon.com/dp/B01M1O1147"
"","","B0CM6MFKQN","Fayavoo Wedding Arch Cover 7.2FT 2 Sided Color Spandex Fitted Arch Backdrop Cover, Round Top Chiara Backdrop Stand Covers for Wedding Birthday Party Baby Shower Banquet Arch Decoration","Fayavoo","$18.99","","","","10/30/2023","","5","1","","8,214","7","FBA","1","Photographic Studio Photo Backgrounds","","","","https://www.amazon.com/dp/B0CM6MFKQN"
"","","B0CBVDWG59","GZYSINFLA 20ft Inflatable Arch with T-Shaped Feet & Blower, Hexagon Inflatables Archway with Interchangeable Start/Finish Line Banners for Race Competition Outdoor Advertising Commerce (Blue)","GZYSINFLA","$259.99","","","$0.00","09/23/2023","","5","7","","498,121","7","FBA","1","Patio, Lawn & Garden","","","","https://www.amazon.com/dp/B0CBVDWG59"
"","","B0BFB72BHL","Fogein 6.6ft Round Backdrop Stand, Stable Circle Balloon Arch Metal Frame for Wedding Birthday Party Baby Shower Decoration(Gold)","Fogein","$36.99","1,830","61","$67,692","11/27/2022","","4.5","420","","2,693","6","FBA","5","Patio, Lawn & Garden","","","","https://www.amazon.com/dp/B0BFB72BHL"
"","","B07QQJTWXX","Newsmarts 7.9Ft Metal Garden Arch Army Green Garden Arbor for Climbing Plant Outdoor Wedding Party","Newsmarts","$27.99","588","38","$16,458","04/10/2020","$13.88","4","866","$14.11","4,802","6","FBA","2","Patio, Lawn & Garden","Oversize","7.874 x 1.969 x 21.26 in","3.968 lb","https://www.amazon.com/dp/B07QQJTWXX"
"","","B0CHP169FH","Suoedd 8FT Wedding Arch Round Backdrop Stand Gold Metal Circle Balloon Arch Frame Stand for Wedding Ceremony Birthday Party Bridal Shower Anniversary Candy Tables Christmas Decoration","Suoedd","$49.99","492","9","$24,595","11/08/2023","","4.3","36","","21,028","7","FBA","2","Patio, Lawn & Garden","","","","https://www.amazon.com/dp/B0CHP169FH"
"","","B0C1R9BFB9","6.6FT Round Backdrop Stand Golden Circle Balloon Arch Kit, Metal Ring Arch Stand for Party Backdrop Decoration, Baby Shower, Birthday Anniversary Bridal Decoration, Gold","Tuenort","$31.99","","","","06/02/2023","","4.4","156","","17","6","FBA","3","Photo Studio Posing Props","","","","https://www.amazon.com/dp/B0C1R9BFB9"
"","","B0CMC2GXH7","Wedding Arch Cover Set of 3 Arch Backdrop, Spandex Fitted Arch Cover for Arch Backdrop StandArch Backdrop Stand Cover for Birthday Party Ceremony Banquet Decoration (Pink, 4FT,5FT,6FT)","FristGlory","$29.99","","","","11/01/2023","","5","5","","23,963","7","FBA","1","Photographic Studio Photo Backgrounds","","","","https://www.amazon.com/dp/B0CMC2GXH7"
"","","B0CN9D5W4T","10FT Mardi Gras Decorations Inflatable Arch, Mardi Gras Wreaths for Front Door,Jester Mask Archway Halloween Blow up Outdoor Decoration Build-in LED Lights,Holiday Addition for Party/Yard/Garden/Lawn","VIKIMORA","$59.99","68","2","$4,079","01/23/2024","","","","","80,465","6","FBA","1","Patio, Lawn & Garden","","","","https://www.amazon.com/dp/B0CN9D5W4T"
"","","B07RS354WM","Vanthylit Set of 2 3PK 30' Brown Lighted Twig Stakes 120 Warm White Pathway Light for Outdoor and Indoor (Vase Excluded)","Vanthylit","$31.99","405","4","$12,956","05/14/2019","$-9.38","4.5","419","$41.37","86,097","6","FBA","1","Tools & Home Improvement","Oversize","0.39 x 29.92 x 70.87 in","1.98 lb","https://www.amazon.com/dp/B07RS354WM"
"","","B0CNX2WW55","Fogein 8.2ft Round Backdrop Stand, Stable Circle Balloon Arch Stand, Metal Circle Arch Stand for Wedding Valentines Birthday Party Baby Shower Decoration,White","","$59.99","30","1","$1,800","","","","","","173,159","","FBA","","Patio, Lawn & Garden","","","","https://www.amazon.com/dp/B0CNX2WW55"
